,genres,movie_title,imdb_score,movie_imdb_link
203,"
Drama            ",There Will Be Blood,8.2,https://www.imdb.com/title/tt0469494
204,"
Comedy, Drama            ",Dead Poets Society,8.1,https://www.imdb.com/title/tt0097165
205,"
Biography, Drama, Music            ",Bohemian Rhapsody,7.9,https://www.imdb.com/title/tt1727824
206,"
Biography, Drama, Music            ",The Pianist,8.5,https://www.imdb.com/title/tt0253474
207,"
Animation, Adventure, Comedy            ",Inside Out,8.2,https://www.imdb.com/title/tt2096673
208,"
Drama, Romance            ",Marriage Story,7.9,https://www.imdb.com/title/tt7653254
209,"
Biography, Comedy, Drama            ",The Intouchables,8.5,https://www.imdb.com/title/tt1675434
210,"
Horror, Mystery, Thriller            ",The Others,7.6,https://www.imdb.com/title/tt0230600
211,"
Crime, Drama, Mystery            ",Primal Fear,7.7,https://www.imdb.com/title/tt0117381
212,"
Drama, Thriller, War            ",Come and See,8.4,https://www.imdb.com/title/tt0091251
213,"
Drama            ",Y tu mamá también,7.7,https://www.imdb.com/title/tt0245574
214,"
Drama, Sport            ",Rocky,8.1,https://www.imdb.com/title/tt0075148
215,"
Animation, Adventure, Comedy            ",Toy Story,8.3,https://www.imdb.com/title/tt0114709
216,"
Drama            ",Trainspotting,8.1,https://www.imdb.com/title/tt0117951
217,"
Crime, Drama, Mystery            ",The Hateful Eight,7.8,https://www.imdb.com/title/tt3460252
218,"
Biography, Drama            ",The Social Network,7.8,https://www.imdb.com/title/tt1285016
219,"
Biography, Drama, History            ",Tombstone,7.8,https://www.imdb.com/title/tt0108358
220,"
Animation, Adventure, Comedy            ",Moana,7.6,https://www.imdb.com/title/tt3521164
221,"
Action, Adventure, Thriller            ",Skyfall,7.8,https://www.imdb.com/title/tt1074638
222,"
Biography, Drama, Sport            ",The Blind Side,7.6,https://www.imdb.com/title/tt0878804
223,"
Fantasy, Horror            ",Nosferatu,7.9,https://www.imdb.com/title/tt0013442
224,"
Adventure, Drama            ",Ben-Hur,8.1,https://www.imdb.com/title/tt0052618
225,"
Action, Drama, Sport            ",Creed,7.6,https://www.imdb.com/title/tt3076658
226,"
Adventure, Drama, War            ",Barry Lyndon,8.1,https://www.imdb.com/title/tt0072684
227,"
Crime, Thriller            ",Sin City,8.0,https://www.imdb.com/title/tt0401792
228,"
Comedy            ",Superbad,7.6,https://www.imdb.com/title/tt0829482
229,"
Action, Drama, Sport            ",Warrior,8.2,https://www.imdb.com/title/tt1291584
230,"
Action, Adventure, Thriller            ",Mission: Impossible - Fallout,7.7,https://www.imdb.com/title/tt4912910
231,"
Crime, Drama, Mystery            ",Blue Velvet,7.7,https://www.imdb.com/title/tt0090756
232,"
Comedy, Drama, Romance            ",When Harry Met Sally...,7.7,https://www.imdb.com/title/tt0098635
233,"
Crime, Drama            ",Casino,8.2,https://www.imdb.com/title/tt0112641
234,"
Adventure, Comedy, Drama            ",Almost Famous,7.9,https://www.imdb.com/title/tt0181875
235,"
Action, Adventure, Comedy            ",The Blues Brothers,7.9,https://www.imdb.com/title/tt0080455
236,"
Biography, Crime, Drama            ",Spotlight,8.1,https://www.imdb.com/title/tt1895587
237,"
Action, Comedy, Mystery            ",Hot Fuzz,7.8,https://www.imdb.com/title/tt0425112
238,"
Biography, Drama, Thriller            ",The Imitation Game,8.0,https://www.imdb.com/title/tt2084970
239,"
Biography, Drama            ",A Beautiful Mind,8.2,https://www.imdb.com/title/tt0268978
240,"
Drama, Mystery, Thriller            ",The Game,7.7,https://www.imdb.com/title/tt0119174
241,"
Animation, Adventure, Comedy            ",Shrek,7.9,https://www.imdb.com/title/tt0126029
242,"
Animation, Adventure, Comedy            ",Despicable Me,7.6,https://www.imdb.com/title/tt1323594
243,"
Crime, Drama, Mystery            ",The Girl with the Dragon Tattoo,7.8,https://www.imdb.com/title/tt1568346
244,"
Comedy, Drama, Family            ",The Sandlot,7.8,https://www.imdb.com/title/tt0108037
245,"
Action, Adventure, Drama            ",The Revenant,8.0,https://www.imdb.com/title/tt1663202
246,"
Crime, Drama, Romance            ",True Romance,7.9,https://www.imdb.com/title/tt0108399
247,"
Drama, Horror, Sci-Fi            ",Frankenstein,7.8,https://www.imdb.com/title/tt0021884
248,"
Action, Adventure, Sci-Fi            ",X-Men: First Class,7.7,https://www.imdb.com/title/tt1270798
249,"
Crime, Drama, Mystery            ",Zodiac,7.7,https://www.imdb.com/title/tt0443706
250,"
Crime, Drama, Mystery            ",Memories of Murder,8.1,https://www.imdb.com/title/tt0353969
251,"
Animation, Drama, Fantasy            ",Your Name.,8.4,https://www.imdb.com/title/tt5311514
252,"
Adventure, Drama, Sci-Fi            ",The Martian,8.0,https://www.imdb.com/title/tt3659388
253,"
Biography, Drama, History            ",Hidden Figures,7.8,https://www.imdb.com/title/tt4846340
254,"
Adventure, Biography, Drama            ",Into the Wild,8.1,https://www.imdb.com/title/tt0758758
255,"
Drama, Horror, Mystery            ",The Birds,7.6,https://www.imdb.com/title/tt0056869
256,"
Drama, Mystery, Romance            ",Atonement,7.8,https://www.imdb.com/title/tt0783233
257,"
Comedy, Horror            ",Evil Dead II,7.7,https://www.imdb.com/title/tt0092991
258,"
Crime, Thriller            ",Fargo,8.1,https://www.imdb.com/title/tt0116282
259,"
Crime, Drama, Mystery            ",Mystic River,7.9,https://www.imdb.com/title/tt0327056
260,"
Action, Adventure, Comedy            ",Guardians of the Galaxy Vol. 2,7.6,https://www.imdb.com/title/tt3896198
261,"
Comedy            ",Airplane!,7.7,https://www.imdb.com/title/tt0080339
262,"
Adventure, Drama, Thriller            ",Deliverance,7.7,https://www.imdb.com/title/tt0068473
263,"
Drama, Family            ",Wonder,7.9,https://www.imdb.com/title/tt2543472
