,movie_title,year,certificate,time_minute,genres,imdb_score,movie_imdb_link,metascore,vote
91,The Handmaiden,2016,Not Rated,145,"
Drama, Romance, Thriller            ",8.1,https://www.imdb.com/title/tt4016934,84,146841
92,Stand by Me,1986,R,89,"
Adventure, Drama            ",8.1,https://www.imdb.com/title/tt0092005,75,403165
93,Star Wars: Episode IV - A New Hope,1977,PG,121,"
Action, Adventure, Fantasy            ",8.6,https://www.imdb.com/title/tt0076759,90,1356765
94,Sita Ramam,2022,Not Rated,163,"
Action, Drama, Mystery            ",8.5,https://www.imdb.com/title/tt20850406,,41121
95,One Flew Over the Cuckoo's Nest,1975,R,133,"
Drama            ",8.7,https://www.imdb.com/title/tt0073486,84,1003032
96,Eternal Sunshine of the Spotless Mind,2004,R,108,"
Drama, Romance, Sci-Fi            ",8.3,https://www.imdb.com/title/tt0338013,89,1002329
97,Ocean's Eleven,2001,PG-13,116,"
Crime, Thriller            ",7.7,https://www.imdb.com/title/tt0240772,74,573313
98,The Princess Bride,1987,PG,98,"
Adventure, Family, Fantasy            ",8.0,https://www.imdb.com/title/tt0093779,77,427105
99,Rosemary's Baby,1968,Approved,137,"
Drama, Horror            ",8.0,https://www.imdb.com/title/tt0063522,96,217559
100,Avengers: Infinity War,2018,PG-13,149,"
Action, Adventure, Sci-Fi            ",8.4,https://www.imdb.com/title/tt4154756,68,1067778
101,The Grand Budapest Hotel,2014,R,99,"
Adventure, Comedy, Crime            ",8.1,https://www.imdb.com/title/tt2278388,88,803598
102,12 Angry Men,1957,Approved,96,"
Crime, Drama            ",9.0,https://www.imdb.com/title/tt0050083,96,784944
103,The Worst Person in the World,2021,R,128,"
Comedy, Drama, Romance            ",7.8,https://www.imdb.com/title/tt10370710,90,64036
104,"Three Billboards Outside Ebbing, Missouri",2017,R,115,"
Comedy, Crime, Drama            ",8.1,https://www.imdb.com/title/tt5027774,88,504104
105,The Godfather Part II,1974,R,202,"
Crime, Drama            ",9.0,https://www.imdb.com/title/tt0071562,90,1262269
106,The Green Mile,1999,R,189,"
Crime, Drama, Fantasy            ",8.6,https://www.imdb.com/title/tt0120689,61,1291737
107,Oldboy,2003,R,120,"
Action, Drama, Mystery            ",8.4,https://www.imdb.com/title/tt0364569,77,576595
108,Jaws,1975,PG,124,"
Adventure, Thriller            ",8.1,https://www.imdb.com/title/tt0073195,87,604220
109,Good Will Hunting,1997,R,126,"
Drama, Romance            ",8.3,https://www.imdb.com/title/tt0119217,70,961256
110,Heat,1995,R,170,"
Action, Crime, Drama            ",8.3,https://www.imdb.com/title/tt0113277,76,652119
111,Iron Man,2008,PG-13,126,"
Action, Adventure, Sci-Fi            ",7.9,https://www.imdb.com/title/tt0371746,79,1053242
112,E.T. the Extra-Terrestrial,1982,PG,115,"
Adventure, Family, Sci-Fi            ",7.9,https://www.imdb.com/title/tt0083866,91,408857
113,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130,"
Adventure, Family, Fantasy            ",8.1,https://www.imdb.com/title/tt1201607,85,870029
114,About Time,2013,R,123,"
Comedy, Drama, Fantasy            ",7.8,https://www.imdb.com/title/tt2194499,55,349501
115,Let the Right One In,2008,R,114,"
Drama, Fantasy, Horror            ",7.9,https://www.imdb.com/title/tt1139797,82,218090
116,CODA,2021,PG-13,111,"
Comedy, Drama, Music            ",8.0,https://www.imdb.com/title/tt10366460,74,129754
117,Home Alone,1990,PG,103,"
Comedy, Family            ",7.7,https://www.imdb.com/title/tt0099785,63,564797
118,The Dark Knight Rises,2012,PG-13,164,"
Action, Drama            ",8.4,https://www.imdb.com/title/tt1345836,78,1694036
119,The Avengers,2012,PG-13,143,"
Action, Adventure, Sci-Fi            ",8.0,https://www.imdb.com/title/tt0848228,69,1384287
120,Gone Girl,2014,R,149,"
Drama, Mystery, Thriller            ",8.1,https://www.imdb.com/title/tt2267998,79,976607
121,The Notebook,2004,PG-13,123,"
Drama, Romance            ",7.8,https://www.imdb.com/title/tt0332280,53,571606
122,Black Hawk Down,2001,R,144,"
Action, Drama, History            ",7.7,https://www.imdb.com/title/tt0265086,74,396781
123,Casino Royale,2006,PG-13,144,"
Action, Adventure, Thriller            ",8.0,https://www.imdb.com/title/tt0381061,80,656485
124,2001: A Space Odyssey,1968,G,149,"
Adventure, Sci-Fi            ",8.3,https://www.imdb.com/title/tt0062622,84,666203
125,Mulholland Drive,2001,R,147,"
Drama, Mystery, Thriller            ",7.9,https://www.imdb.com/title/tt0166924,85,355323
126,The Usual Suspects,1995,R,106,"
Crime, Drama, Mystery            ",8.5,https://www.imdb.com/title/tt0114814,77,1080193
127,Pride & Prejudice,2005,PG,129,"
Drama, Romance            ",7.8,https://www.imdb.com/title/tt0414387,82,296312
128,The Fly,1986,R,96,"
Drama, Horror, Sci-Fi            ",7.6,https://www.imdb.com/title/tt0091064,79,183816
129,Mad Max: Fury Road,2015,R,120,"
Action, Adventure, Sci-Fi            ",8.1,https://www.imdb.com/title/tt1392190,90,996086
130,A Christmas Story,1983,PG,93,"
Comedy, Family            ",7.9,https://www.imdb.com/title/tt0085334,77,148372
